species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_Pate17_Pate18_0, 0.002, 0, 0.006, 0.007, 0.002, 0, 0.002, 0.002, 0.003
Node_Pate17_Pate19_0, 0.005, 0, 0.003, 0.004, 0.005, 0, 0.005, 0.003, 0.003
Node_Pate17_Pate8_0, 0.004, 0, 0.008, 0.009, 0.004, 0, 0.004, 0.001, 0.01
Node_Pate18_Pate38_0, 0.002, 0, 0.013, 0.012, 0.002, 0, 0.002, 0.001, 0.009
Node_Pate18_Pate9_0, 0.006, 0, 0.004, 0.009, 0.006, 0, 0.006, 0.001, 0.008
Node_Pate19_Pate37_0, 0.004, 0, 0.008, 0.012, 0.004, 0, 0.004, 0.001, 0.007
Node_Pate19_Pate4_0, 0.005, 0, 0.003, 0.002, 0.005, 0, 0.005, 0.004, 0.003
Node_Pate1_Pate50_0, 0.005, 0, 0.005, 0.005, 0.005, 0, 0.005, 0.003, 0.004
Node_Pate21_Pate15_0, 0.003, 0, 0.005, 0.004, 0.003, 0, 0.003, 0.001, 0.005
Node_Pate21_Pate26_0, 0.003, 0, 0.004, 0.004, 0.003, 0, 0.003, 0.001, 0.003
Node_Pate24_Pate13_0, 0.005, 0, 0.001, 0.002, 0.005, 0, 0.005, 0.002, 0.003
Node_Pate24_Pate14_0, 0.003, 0, 0.006, 0.007, 0.003, 0, 0.003, 0, 0.007
Node_Pate24_Pate39_0, 0.005, 0, 0.012, 0.016, 0.005, 0, 0.005, 0.002, 0.009
Node_Pate24_Pate54_0, 0.008, 0, 0, 0.003, 0.008, 0, 0.008, 0.005, 0.003
Node_Pate25_Pate17_0, 0.005, 0, 0.01, 0.013, 0.005, 0, 0.005, 0.004, 0.007
Node_Pate25_Pate28_0, 0.004, 0, 0.005, 0.006, 0.004, 0, 0.004, 0, 0.004
Node_Pate25_Pate32_0, 0.008, 0, 0.007, 0.005, 0.008, 0, 0.008, 0.007, 0.001
Node_Pate26_Pate12_0, 0, 0, 0.011, 0.019, 0, 0, 0, 0, 0.008
Node_Pate40_Pate24_0, 0.002, 0, 0.008, 0.008, 0.002, 0, 0.002, 0.001, 0.003
Node_Pate40_Pate55_0, 0.001, 0, 0.005, 0.008, 0.001, 0, 0.001, 0.001, 0.004
Node_Pate40_Pate7_0, 0.007, 0, 0.003, 0.009, 0.007, 0, 0.007, 0.003, 0.006
Node_Pate43_Pate22_0, 0.002, 0, 0.005, 0.005, 0.002, 0, 0.002, 0.001, 0.002
Node_Pate43_Pate3_0, 0.004, 0, 0.004, 0.009, 0.004, 0, 0.004, 0.001, 0.006
Node_Pate43_Pate44_0, 0.002, 0, 0.007, 0.007, 0.002, 0, 0.002, 0, 0.005
Node_Pate43_Pate45_0, 0.005, 0, 0.011, 0.012, 0.005, 0, 0.005, 0.005, 0.003
Node_Pate43_Pate57_0, 0.005, 0, 0.008, 0.01, 0.005, 0, 0.005, 0, 0.011
Node_Pate44_Pate10_0, 0.005, 0, 0.011, 0.011, 0.005, 0, 0.005, 0.003, 0.006
Node_Pate44_Pate52_0, 0.01, 0, 0.002, 0.004, 0.01, 0, 0.01, 0.002, 0.01
Node_Pate45_Pate11_0, 0.004, 0, 0.004, 0.003, 0.004, 0, 0.004, 0.001, 0.004
Node_Pate45_Pate21_0, 0.004, 0, 0.006, 0.005, 0.004, 0, 0.004, 0.001, 0.005
Node_Pate46_Pate25_0, 0.014, 0, 0.018, 0.018, 0.014, 0, 0.014, 0.012, 0.004
Node_Pate48_Chlo30_0, 0.146, 0.002, 0.031, 0.051, 0.139, 0, 0.146, 0.118, 0.026
Node_Pate48_Pate1_0, 0.006, 0, 0.003, 0.008, 0.006, 0, 0.006, 0.001, 0.008
Node_Pate48_Pate23_0, 0.04, 0, 0.111, 0.073, 0.039, 0, 0.04, 0.037, 0.005
Node_Pate48_Pate30_0, 0.003, 0, 0.004, 0.002, 0.003, 0, 0.003, 0.001, 0.003
Node_Pate48_Pate40_0, 0.004, 0, 0.011, 0.005, 0.004, 0, 0.004, 0.002, 0.002
Node_Pate48_Pate43_0, 0.013, 0, 0.018, 0.022, 0.013, 0, 0.013, 0.01, 0.003
Node_Pate48_Pate46_0, 0.028, 0, 0.017, 0.016, 0.027, 0, 0.028, 0.025, 0.005
Node_Pate48_Pate49_0, 0.005, 0, 0.008, 0.01, 0.005, 0, 0.005, 0.002, 0.007
Node_Pate48_Pate51_0, 0.004, 0, 0.007, 0.009, 0.004, 0, 0.004, 0.001, 0.006
Node_Pate48_Pate56_0, 0.001, 0, 0.005, 0.007, 0.001, 0, 0.001, 0, 0.003
Node_Pate49_Pate41_0, 0.005, 0, 0.008, 0.01, 0.005, 0, 0.005, 0.003, 0.008
Node_Pate51_Pate27_0, 0.004, 0, 0.015, 0.014, 0.004, 0, 0.004, 0, 0.013
Node_Pate51_Pate33_0, 0.002, 0, 0.005, 0.006, 0.002, 0, 0.002, 0.002, 0.003
Node_Pate51_Pate53_0, 0.006, 0, 0.007, 0.008, 0.006, 0, 0.006, 0.001, 0.011
Node_Pate54_Pate31_0, 0.004, 0, 0.012, 0.011, 0.004, 0, 0.004, 0.002, 0.008
Node_Pate9_Pate36_0, 0.005, 0, 0.009, 0.01, 0.005, 0, 0.005, 0.001, 0.008
Node_Plan17_Plan23_0, 0.005, 0, 0.022, 0.023, 0.005, 0, 0.005, 0.003, 0.015
Node_Plan22_Plan2_0, 0.988, 0.006, 0.036, 0.163, 0.82, 0, 0.988, 0.641, 0.357
Node_Plan22_Plan4_0, 0.661, 0.002, 0.106, 0.144, 0.621, 0, 0.661, 0.576, 0.088
Node_Plan26_Plan21_0, 0.756, 0.002, 0.244, 0.366, 0.666, 0, 0.756, 0.659, 0.1
Node_Plan26_Plan5_0, 0.355, 0, 0.607, 0.283, 0.331, 0, 0.355, 0.155, 0.206
Node_Plan30_Plan14_0, 0.033, 0.001, 0.115, 0.09, 0.033, 0, 0.033, 0.03, 0.008
Node_Plan31_Plan17_0, 0.012, 0, 0.026, 0.023, 0.012, 0, 0.012, 0.01, 0.006
Node_Plan31_Plan18_0, 0.248, 0, 0.757, 0.535, 0.234, 0, 0.248, 0.245, 0.005
Node_Plan31_Plan27_0, 0.032, 0, 0.06, 0.06, 0.032, 0, 0.032, 0.03, 0.002
Node_Plan31_Plan39_0, 0.09, 0, 0.166, 0.175, 0.089, 0, 0.09, 0.087, 0.008
Node_Plan32_Plan12_0, 0.02, 0, 0.05, 0.065, 0.02, 0, 0.02, 0.015, 0.016
Node_Plan32_Plan22_0, 0.677, 0, 0.241, 0.234, 0.607, 0, 0.677, 0.661, 0.02
Node_Plan32_Plan26_0, 0.898, 0.006, 0.559, 0.498, 0.706, 0, 0.898, 0.529, 0.363
Node_Plan32_Plan30_0, 0.139, 0, 0.55, 0.21, 0.136, 0, 0.139, 0.134, 0.012
Node_Plan32_Plan3_0, 0.054, 0, 0.102, 0.086, 0.054, 0, 0.054, 0.047, 0.017
Node_Plan33_Plan44_0, 0.102, 0, 0.859, 0.432, 0.097, 0, 0.102, 0.099, 0.006
Node_Plan42_Plan40_0, 1.19, 0.001, 0.431, 0.425, 1, 0, 1.19, 0.951, 0.248
Node_Plan43_Plan16_0, 1.393, 0.177, 0.052, 0.408, 0.875, 0, 1.393, 0.786, 0.313
Node_Plan43_Plan31_0, 1, 0.005, 0.123, 0.362, 0.721, 0, 1, 0.947, 0.045
Node_Plan43_Plan32_0, 1.088, 0.008, 0.078, 0.312, 0.754, 0, 1.088, 0.919, 0.158
Node_Plan43_Plan33_0, 0.955, 0.016, 0.225, 0.39, 0.721, 0, 0.955, 0.853, 0.076
Node_Plan43_Plan42_0, 1.372, 0.002, 0.322, 0.185, 0.998, 0, 1.372, 1.078, 0.299
Node_Plan43_Plan7_0, 1.073, 0.006, 0.911, 0.553, 0.751, 0, 1.073, 1.046, 0.019
Node_Plan43_Verr11_0, 1.959, 0.016, 0.114, 0.499, 0.981, 0, 1.959, 1.904, 0.024
Node_Pori1_Pori2_0, 1.049, 0.004, 0.446, 0.845, 0.995, 0, 1.049, 0.073, 0.984
Node_ProtA11_ProtA32_0, 0.766, 0, 0.007, 0.055, 0.655, 0, 0.766, 0.496, 0.273
Node_ProtA12_ProtA44_0, 0.005, 0, 0.01, 0.011, 0.005, 0, 0.005, 0.001, 0.011
Node_ProtA12_ProtA54_0, 0.003, 0, 0.009, 0.008, 0.003, 0, 0.003, 0.002, 0.007
Node_ProtA13_ProtA24_0, 0.626, 0.001, 0.023, 0.049, 0.569, 0, 0.626, 0.515, 0.118
Node_ProtA13_ProtA61_0, 0.242, 0, 0.52, 0.046, 0.232, 0, 0.242, 0.118, 0.136
Node_ProtA13_ProtA77_0, 1.424, 0.004, 0.151, 0.166, 0.971, 0, 1.424, 1.072, 0.348
Node_ProtA13_ProtA7_0, 0.53, 0, 0.932, 0.049, 0.486, 0, 0.53, 0.495, 0.038
Node_ProtA15_ProtA42_0, 0.549, 0, 0.061, 0.106, 0.465, 0, 0.549, 0.291, 0.266
