species_label, speciations, duplications, losses, transfers, presence, origination, copies, singletons, transfers_to
Node_FirmC13_FirmC8_0, 0.01, 0, 0.024, 0.018, 0.01, 0, 0.01, 0.003, 0.011
Node_FirmC13_Firms33_0, 0.589, 0.002, 0.023, 0.104, 0.575, 0, 0.589, 0.581, 0.004
Node_FirmC15_FirmC12_0, 0.004, 0, 0.021, 0.02, 0.004, 0, 0.004, 0, 0.02
Node_FirmC1_FirmC4_0, 0.009, 0, 0.017, 0.013, 0.009, 0, 0.009, 0.002, 0.013
Node_FirmC6_FirmC16_0, 0.005, 0, 0.02, 0.018, 0.005, 0, 0.005, 0.001, 0.012
Node_FirmC6_FirmC1_0, 0.013, 0, 0.012, 0.018, 0.013, 0, 0.013, 0.003, 0.017
Node_FirmC8_FirmC11_0, 0.009, 0, 0.015, 0.013, 0.009, 0, 0.009, 0, 0.016
Node_FirmC8_FirmC15_0, 0.005, 0, 0.025, 0.023, 0.005, 0, 0.005, 0, 0.019
Node_FirmC8_FirmC6_0, 0.008, 0, 0.023, 0.024, 0.008, 0, 0.008, 0.003, 0.021
Node_FirmC8_FirmC7_0, 0.011, 0, 0.015, 0.02, 0.011, 0, 0.011, 0.002, 0.017
Node_FirmC8_FirmC9_0, 0.01, 0, 0.015, 0.019, 0.01, 0, 0.01, 0.004, 0.015
Node_FirmD2_FirmD3_0, 0.012, 0, 0.046, 0.033, 0.012, 0, 0.012, 0.007, 0.015
Node_FirmD4_FirmD2_0, 0.043, 0, 0.582, 0.117, 0.043, 0, 0.043, 0.043, 0.004
Node_FirmE4_FirmE6_0, 1.004, 0, 0.023, 0.043, 1, 0, 1.004, 0.757, 0.256
Node_FirmE5_FirmA85_0, 0.692, 0.004, 0.051, 0.205, 0.659, 0, 0.692, 0.556, 0.131
Node_FirmE5_FirmE3_0, 0.009, 0, 0.774, 0.029, 0.009, 0, 0.009, 0.003, 0.012
Node_FirmE5_FirmE4_0, 0.771, 0, 0.02, 0.023, 0.758, 0, 0.771, 0.714, 0.062
Node_FirmE5_FirmE7_0, 0.729, 0.003, 0.069, 0.123, 0.716, 0, 0.729, 0.63, 0.103
Node_FirmE7_FirmE1_0, 0.658, 0.001, 0.095, 0.227, 0.646, 0, 0.658, 0.641, 0.023
